dataset,method,first_order_diff_used,num_features,block_size,network_config,train_transform_time,test_transform_time,train_transform_block_time,test_transform_block_time,train_cls_time,train_cls_epoch_time,test_cls_time,train_cls_time_gpu,train_cls_epoch_time_gpu,test_cls_time_gpu
musekey,minirocket,0,10000,,,321.4500941,35.78457342,321.4500941,35.78457342,0.07281518,,0.003019571,,,
musekey,multirocket,0,1000,,,93.15274835,10.3098352,93.15274835,10.3098352,0.072947025,,0.0,,,
musekey,multirocket,0,2500,,,294.9026349,32.91729161,294.9026349,32.91729161,0.08578372,,0.001994848,,,
musekey,multirocket,0,10000,,,333.9655869,36.28805621,333.9655869,36.28805621,0.286806345,,0.006981134,,,
musekey,multirocket,1,1000,,,218.9696913,23.35441089,218.9696913,23.35441089,0.05997324,,0.001994848,,,
musekey,multirocket,1,2500,,,525.5254279,59.91336798,525.5254279,59.91336798,0.119679451,,0.00299263,,,
musekey,multirocket,1,10000,,,703.566269,83.74309748,703.566269,83.74309748,0.541028976,,0.013963223,,,
musekey,storm minirocket,0,1000,100.0,"64,0.4,32,True",43.81005597,5.463044882,0.1825419,0.022762687,9.159243107,0.73563236,0.419854403,4.873497009,0.258496255,0.440902233
musekey,storm minirocket,0,1000,1000.0,"64,0.4,32,True",56.11373782,6.353026152,2.338072409,0.264709423,2.644941807,0.088013738,0.507708311,2.626888514,0.082279891,0.443850279
musekey,storm minirocket,0,2500,100.0,"64,0.4,32,True",68.65353346,7.840524912,0.286056389,0.032668854,11.41738391,0.920292884,0.467748642,7.440613985,0.454762369,0.519651651
musekey,storm minirocket,0,2500,1000.0,"64,0.4,32,True",126.6449256,14.14360571,5.2768719,0.589316905,2.870489836,0.115705431,0.387612343,2.952943087,0.094249278,0.417200089
musekey,storm minirocket,0,10000,100.0,"64,0.4,32,True",73.44407892,8.383122384,0.306016996,0.034929677,36.88586879,2.390895188,1.511636496,,,
musekey,storm minirocket,0,10000,1000.0,"64,0.4,32,True",139.7233164,15.63876057,5.821804851,0.651615024,4.915701628,0.309075564,0.410850048,4.064859152,0.178542316,0.439816952
musekey,storm multirocket,0,1000,100.0,"64,0.4,32,True",46.57990456,5.370153427,0.194082936,0.022375639,12.3544147,0.986746877,0.495191574,8.970831394,0.547703832,0.551033974
musekey,storm multirocket,0,1000,1000.0,"64,0.4,32,True",59.50148654,6.669558764,2.479228606,0.277898282,3.267015696,0.150971144,0.396430254,3.341281176,0.111670524,0.440058231
musekey,storm multirocket,0,2500,100.0,"64,0.4,32,True",69.87673855,8.096894026,0.291153077,0.033737058,28.36977696,1.787097454,1.314228773,,,
musekey,storm multirocket,0,2500,1000.0,"64,0.4,32,True",135.456722,15.12663603,5.644030084,0.630276501,4.627027273,0.252579689,0.411897421,3.914160013,0.182269543,0.439000368
musekey,storm multirocket,0,10000,100.0,"64,0.4,32,True",73.85466146,8.496917486,0.307727756,0.035403823,219.7313656,19.97557869,2.219508744,,,
musekey,storm multirocket,0,10000,1000.0,"64,0.4,32,True",152.5469496,17.09725213,6.356122901,0.712385505,10.52136874,0.818814874,0.530328751,9.451224327,0.599938899,0.575772524
musekey,storm multirocket,1,1000,100.0,"64,0.4,32,True",94.59900904,10.710531,0.394162538,0.044627212,19.13162422,1.603398174,0.640286207,16.77603102,0.997243643,0.895182371
musekey,storm multirocket,1,1000,1000.0,"64,0.4,32,True",85.2318933,9.716001034,3.551328888,0.404833376,3.862411499,0.20800826,0.400506735,3.914810896,0.158323497,0.483266115
musekey,storm multirocket,1,2500,100.0,"64,0.4,32,True",142.0463774,15.94816327,0.591859906,0.06645068,134.4344082,3.207707465,4.047314882,,,
musekey,storm multirocket,1,2500,1000.0,"64,0.4,32,True",274.7957368,31.10471272,11.44982237,1.296029697,6.526319504,0.443817407,0.472254515,5.525418282,0.292415351,0.492461443
musekey,storm multirocket,1,10000,1000.0,"64,0.4,32,True",292.0398812,33.41718912,12.16832838,1.39238288,23.38608003,1.877738953,0.726057529,,,
pioneer,minirocket,0,1000,,,0.07280612,0.007977962,0.07280612,0.007977962,0.008976221,,0.000998259,,,
pioneer,minirocket,0,2500,,,0.093748569,0.010976553,0.093748569,0.010976553,0.009942293,,0.0,,,
pioneer,minirocket,0,10000,,,0.094720125,0.010999203,0.094720125,0.010999203,0.027897596,,0.00099659,,,
pioneer,multirocket,0,1000,,,0.074826479,0.00895071,0.074826479,0.00895071,0.015003443,,0.001032352,,,
pioneer,multirocket,0,2500,,,0.096708298,0.012992144,0.096708298,0.012992144,0.027925014,,0.00097084,,,
pioneer,multirocket,0,10000,,,0.103698492,0.012964725,0.103698492,0.012964725,0.099731684,,0.00199461,,,
pioneer,multirocket,1,1000,,,0.146573782,0.016953945,0.146573782,0.016953945,0.021941662,,0.0,,,
pioneer,multirocket,1,2500,,,0.192486286,0.022943258,0.192486286,0.022943258,0.048839331,,0.000996113,,,
pioneer,multirocket,1,10000,,,0.199972868,0.025931358,0.199972868,0.025931358,0.201429129,,0.00299263,,,
pioneer,storm minirocket,0,1000,100.0,"64,0.4,32,True",0.072778225,0.008978844,0.072778225,0.008978844,1.823676825,0.012092412,0.403920412,2.069256783,0.03503114,0.393186331
pioneer,storm minirocket,0,1000,1000.0,"64,0.4,32,True",0.071808577,0.007977724,0.071808577,0.007977724,1.959754705,0.011595607,0.432842255,2.035158157,0.035155773,0.401380301
pioneer,storm minirocket,0,2500,100.0,"64,0.4,32,True",0.094251633,0.010151148,0.094251633,0.010151148,1.840220451,0.013837725,0.384991407,2.045423508,0.033518106,0.387875557
pioneer,storm minirocket,0,2500,1000.0,"64,0.4,32,True",0.09773922,0.010970592,0.09773922,0.010970592,1.833671331,0.013339788,0.386370659,2.092186928,0.041671991,0.391538858
pioneer,storm minirocket,0,10000,100.0,"64,0.4,32,True",0.095744133,0.011967897,0.095744133,0.011967897,2.489041805,0.044131935,0.437845469,2.175813913,0.041141719,0.387103081
pioneer,storm minirocket,0,10000,1000.0,"64,0.4,32,True",0.099251986,0.010970116,0.099251986,0.010970116,2.114391088,0.041080028,0.382975817,2.060752153,0.029420942,0.392220736
pioneer,storm multirocket,0,1000,100.0,"64,0.4,32,True",0.076793909,0.009968996,0.076793909,0.009968996,1.956707478,0.018201351,0.452787876,2.096776485,0.041887701,0.385974169
pioneer,storm multirocket,0,1000,1000.0,"64,0.4,32,True",0.074799538,0.008976698,0.074799538,0.008976698,1.968336582,0.020313233,0.411192894,2.033927202,0.036776513,0.38508606
pioneer,storm multirocket,0,2500,100.0,"64,0.4,32,True",0.09774375,0.010971069,0.09774375,0.010971069,2.463169575,0.045128435,0.567557096,2.074880123,0.028985471,0.383458614
pioneer,storm multirocket,0,2500,1000.0,"64,0.4,32,True",0.102698326,0.012965441,0.102698326,0.012965441,2.245419979,0.042386234,0.397471189,2.150922537,0.035597146,0.385005474
pioneer,storm multirocket,0,10000,100.0,"64,0.4,32,True",0.102765799,0.012959003,0.102765799,0.012959003,3.37318182,0.153215498,0.460662127,2.385467529,0.03503105,0.395633459
pioneer,storm multirocket,0,10000,1000.0,"64,0.4,32,True",0.100732327,0.013962507,0.100732327,0.013962507,3.409084797,0.156463861,0.405736923,2.306411743,0.036527276,0.395040989
pioneer,storm multirocket,1,1000,100.0,"64,0.4,32,True",0.147574902,0.017969608,0.147574902,0.017969608,2.040718794,0.033160895,0.389354229,2.110082865,0.038272351,0.385295868
pioneer,storm multirocket,1,1000,1000.0,"64,0.4,32,True",0.152591467,0.017951965,0.152591467,0.017951965,2.096736193,0.034283549,0.395774841,2.144518137,0.040268749,0.387969732
